# URLhaus sample (offline demo data)
# id,dateadded,url,url_status,last_online,threat,tags,urlhaus_link,reporter
"3000","2026-07-15 01:12:00","http://203.0.113.15/bins/update.sh","online","","malware_download","elf,32-bit","https://urlhaus.abuse.ch/url/3000/","sample"
"3001","2026-07-12 01:12:00","http://203.0.113.42/bins/update.sh","online","","malware_download","mozi,32-bit","https://urlhaus.abuse.ch/url/3001/","sample"
"3002","2026-07-10 07:12:00","http://198.51.100.7/bins/update.sh","online","","malware_download","mozi,32-bit","https://urlhaus.abuse.ch/url/3002/","sample"
"3003","2026-07-14 07:12:00","http://203.0.113.62/bins/update.sh","online","","malware_download","mozi,32-bit","https://urlhaus.abuse.ch/url/3003/","sample"
"3004","2026-07-11 01:12:00","http://203.0.113.145/bins/update.sh","online","","malware_download","mozi,32-bit","https://urlhaus.abuse.ch/url/3004/","sample"
"3005","2026-07-11 01:12:00","http://203.0.113.102/bins/update.sh","online","","malware_download","mozi,32-bit","https://urlhaus.abuse.ch/url/3005/","sample"
"3006","2026-07-13 03:12:00","http://203.0.113.35/bins/update.sh","online","","malware_download","gafgyt,32-bit","https://urlhaus.abuse.ch/url/3006/","sample"
"3007","2026-07-14 03:12:00","http://203.0.113.147/bins/update.sh","online","","malware_download","gafgyt,32-bit","https://urlhaus.abuse.ch/url/3007/","sample"
"3008","2026-07-11 06:12:00","http://203.0.113.147/bins/update.sh","online","","malware_download","agenttesla,32-bit","https://urlhaus.abuse.ch/url/3008/","sample"
"3009","2026-07-14 01:12:00","http://203.0.113.183/bins/update.sh","online","","malware_download","mozi,32-bit","https://urlhaus.abuse.ch/url/3009/","sample"
"3010","2026-07-14 07:12:00","http://203.0.113.128/bins/update.sh","online","","malware_download","agenttesla,32-bit","https://urlhaus.abuse.ch/url/3010/","sample"
"3011","2026-07-13 06:12:00","http://198.51.100.120/bins/update.sh","online","","malware_download","lokibot,32-bit","https://urlhaus.abuse.ch/url/3011/","sample"
"3012","2026-07-15 04:12:00","http://203.0.113.204/bins/update.sh","online","","malware_download","mirai,32-bit","https://urlhaus.abuse.ch/url/3012/","sample"
"3013","2026-07-13 06:12:00","http://203.0.113.77/bins/update.sh","online","","malware_download","lokibot,32-bit","https://urlhaus.abuse.ch/url/3013/","sample"
"3014","2026-07-10 02:12:00","http://198.51.100.74/bins/update.sh","online","","malware_download","lokibot,32-bit","https://urlhaus.abuse.ch/url/3014/","sample"
"3015","2026-07-12 03:12:00","http://203.0.113.43/bins/update.sh","online","","malware_download","emotet,32-bit","https://urlhaus.abuse.ch/url/3015/","sample"
"3016","2026-07-15 02:12:00","http://198.51.100.108/bins/update.sh","online","","malware_download","mozi,32-bit","https://urlhaus.abuse.ch/url/3016/","sample"
"3017","2026-07-12 06:12:00","http://198.51.100.147/bins/update.sh","online","","malware_download","emotet,32-bit","https://urlhaus.abuse.ch/url/3017/","sample"
"3018","2026-07-14 08:12:00","http://203.0.113.153/bins/update.sh","online","","malware_download","elf,32-bit","https://urlhaus.abuse.ch/url/3018/","sample"
"3019","2026-07-13 02:12:00","http://203.0.113.24/bins/update.sh","online","","malware_download","gafgyt,32-bit","https://urlhaus.abuse.ch/url/3019/","sample"
"3020","2026-07-15 08:12:00","http://203.0.113.180/bins/update.sh","online","","malware_download","gafgyt,32-bit","https://urlhaus.abuse.ch/url/3020/","sample"
"3021","2026-07-12 01:12:00","http://203.0.113.99/bins/update.sh","online","","malware_download","agenttesla,32-bit","https://urlhaus.abuse.ch/url/3021/","sample"
"3022","2026-07-14 02:12:00","http://198.51.100.91/bins/update.sh","online","","malware_download","mirai,32-bit","https://urlhaus.abuse.ch/url/3022/","sample"
"3023","2026-07-12 03:12:00","http://203.0.113.56/bins/update.sh","online","","malware_download","emotet,32-bit","https://urlhaus.abuse.ch/url/3023/","sample"
"3024","2026-07-13 02:12:00","http://198.51.100.102/bins/update.sh","online","","malware_download","elf,32-bit","https://urlhaus.abuse.ch/url/3024/","sample"
"3025","2026-07-12 03:12:00","http://203.0.113.103/bins/update.sh","online","","malware_download","lokibot,32-bit","https://urlhaus.abuse.ch/url/3025/","sample"
"3026","2026-07-12 07:12:00","http://198.51.100.222/bins/update.sh","online","","malware_download","lokibot,32-bit","https://urlhaus.abuse.ch/url/3026/","sample"
"3027","2026-07-11 03:12:00","http://198.51.100.175/bins/update.sh","online","","malware_download","elf,32-bit","https://urlhaus.abuse.ch/url/3027/","sample"
"3028","2026-07-15 04:12:00","http://203.0.113.39/bins/update.sh","online","","malware_download","mirai,32-bit","https://urlhaus.abuse.ch/url/3028/","sample"
"3029","2026-07-11 05:12:00","http://203.0.113.213/bins/update.sh","online","","malware_download","lokibot,32-bit","https://urlhaus.abuse.ch/url/3029/","sample"
"3030","2026-07-14 06:12:00","http://203.0.113.38/bins/update.sh","online","","malware_download","elf,32-bit","https://urlhaus.abuse.ch/url/3030/","sample"
"3031","2026-07-15 09:12:00","http://203.0.113.82/bins/update.sh","online","","malware_download","mirai,32-bit","https://urlhaus.abuse.ch/url/3031/","sample"
"3032","2026-07-15 01:12:00","http://198.51.100.168/bins/update.sh","online","","malware_download","agenttesla,32-bit","https://urlhaus.abuse.ch/url/3032/","sample"
"3033","2026-07-15 09:12:00","http://203.0.113.223/bins/update.sh","online","","malware_download","emotet,32-bit","https://urlhaus.abuse.ch/url/3033/","sample"
"3034","2026-07-10 08:12:00","http://203.0.113.103/bins/update.sh","online","","malware_download","elf,32-bit","https://urlhaus.abuse.ch/url/3034/","sample"
"3035","2026-07-10 04:12:00","http://203.0.113.16/bins/update.sh","online","","malware_download","mirai,32-bit","https://urlhaus.abuse.ch/url/3035/","sample"
"3036","2026-07-14 01:12:00","http://203.0.113.29/bins/update.sh","online","","malware_download","gafgyt,32-bit","https://urlhaus.abuse.ch/url/3036/","sample"
"3037","2026-07-14 02:12:00","http://203.0.113.146/bins/update.sh","online","","malware_download","mirai,32-bit","https://urlhaus.abuse.ch/url/3037/","sample"
"3038","2026-07-10 04:12:00","http://198.51.100.158/bins/update.sh","online","","malware_download","mozi,32-bit","https://urlhaus.abuse.ch/url/3038/","sample"
"3039","2026-07-12 06:12:00","http://203.0.113.39/bins/update.sh","online","","malware_download","agenttesla,32-bit","https://urlhaus.abuse.ch/url/3039/","sample"
"3040","2026-07-10 08:12:00","http://203.0.113.122/bins/update.sh","online","","malware_download","mozi,32-bit","https://urlhaus.abuse.ch/url/3040/","sample"
"3041","2026-07-13 05:12:00","http://198.51.100.120/bins/update.sh","online","","malware_download","elf,32-bit","https://urlhaus.abuse.ch/url/3041/","sample"
"3042","2026-07-12 05:12:00","http://203.0.113.27/bins/update.sh","online","","malware_download","agenttesla,32-bit","https://urlhaus.abuse.ch/url/3042/","sample"
"3043","2026-07-14 01:12:00","http://203.0.113.178/bins/update.sh","online","","malware_download","mirai,32-bit","https://urlhaus.abuse.ch/url/3043/","sample"
"3044","2026-07-12 03:12:00","http://203.0.113.244/bins/update.sh","online","","malware_download","lokibot,32-bit","https://urlhaus.abuse.ch/url/3044/","sample"
"3045","2026-07-14 05:12:00","http://203.0.113.235/bins/update.sh","online","","malware_download","mozi,32-bit","https://urlhaus.abuse.ch/url/3045/","sample"
"3046","2026-07-15 05:12:00","http://198.51.100.222/bins/update.sh","online","","malware_download","mozi,32-bit","https://urlhaus.abuse.ch/url/3046/","sample"
"3047","2026-07-12 04:12:00","http://203.0.113.233/bins/update.sh","online","","malware_download","mirai,32-bit","https://urlhaus.abuse.ch/url/3047/","sample"
"3048","2026-07-12 04:12:00","http://203.0.113.200/bins/update.sh","online","","malware_download","lokibot,32-bit","https://urlhaus.abuse.ch/url/3048/","sample"
"3049","2026-07-11 04:12:00","http://203.0.113.202/bins/update.sh","online","","malware_download","emotet,32-bit","https://urlhaus.abuse.ch/url/3049/","sample"
"3050","2026-07-11 04:12:00","http://198.51.100.190/bins/update.sh","online","","malware_download","emotet,32-bit","https://urlhaus.abuse.ch/url/3050/","sample"
"3051","2026-07-10 01:12:00","http://203.0.113.92/bins/update.sh","online","","malware_download","agenttesla,32-bit","https://urlhaus.abuse.ch/url/3051/","sample"
"3052","2026-07-11 06:12:00","http://198.51.100.121/bins/update.sh","online","","malware_download","gafgyt,32-bit","https://urlhaus.abuse.ch/url/3052/","sample"
